Abbreviation,Method,Base,Full,,URI,PrefLabel
Wet Sieving,Wet Sieving after chemical dispersion,http://registry.it.csiro.au/def/soils/op-units/,wet-sieving,op:method method:wet-sieving,http://registry.it.csiro.au/def/soils/op-units/wet-sieving,'Wet Sieving'@en
Titration,Meq per 100g of soil - by 1M KCl exchange acidity by titration to pH 8.4,http://registry.it.csiro.au/def/soils/op-units/,titration,op:method method:titration,http://registry.it.csiro.au/def/soils/op-units/titration,'Titration'@en
Exchangeable Al,"By compulsive exchange, no pretreatment for soluble salts",http://registry.it.csiro.au/def/soils/op-units/,exchangeable-al,op:method method:exchangeable-al,http://registry.it.csiro.au/def/soils/op-units/exchangeable-al,'Exchangeable Al'@en
X-Ray Diffraction,X-Ray Diffraction,http://registry.it.csiro.au/def/soils/op-units/,x-ray-diffraction,op:method method:x-ray-diffraction,http://registry.it.csiro.au/def/soils/op-units/x-ray-diffraction,'X-Ray Diffraction'@en
Induction Furnace,"High frequency induction furnace, volumetric",http://registry.it.csiro.au/def/soils/op-units/,induction-furnace,op:method method:induction-furnace,http://registry.it.csiro.au/def/soils/op-units/induction-furnace,'Induction Furnace'@en
CEC measurement,"1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",http://registry.it.csiro.au/def/soils/op-units/,cec-measurement,op:method method:cec-measurement,http://registry.it.csiro.au/def/soils/op-units/cec-measurement,'CEC measurement'@en
Electrical Conductivity,Soluble salts - Total soluble salts %,http://registry.it.csiro.au/def/soils/op-units/,electrical-conductivity,op:method method:electrical-conductivity,http://registry.it.csiro.au/def/soils/op-units/electrical-conductivity,'Electrical Conductivity'@en
Hydraulic Conductivity,Saturated Hydraulic Conductivity,http://registry.it.csiro.au/def/soils/op-units/,hydraulic-conductivity,op:method method:hydraulic-conductivity,http://registry.it.csiro.au/def/soils/op-units/hydraulic-conductivity,'Hydraulic Conductivity'@en
Gravimetric,0.1 BAR Moisture g/g - Gravimetric using suction plate,http://registry.it.csiro.au/def/soils/op-units/,gravimetric,op:method method:gravimetric,http://registry.it.csiro.au/def/soils/op-units/gravimetric,'Gravimetric'@en
Volumetric,0.1 BAR Moisture m3/m3 - Volumetric using suction plate,http://registry.it.csiro.au/def/soils/op-units/,volumetric,op:method method:volumetric,http://registry.it.csiro.au/def/soils/op-units/volumetric,'Volumetric'@en
Steam Distillation,Total nitrogen (where nitrate > 20 mg N kg-1) - steam distillation,http://registry.it.csiro.au/def/soils/op-units/,steam-distillation,op:method method:steam-distillation,http://registry.it.csiro.au/def/soils/op-units/steam-distillation,'Steam Distillation'@en
X-Ray Fluorescence,Total phosphorus - X-ray fluorescence,http://registry.it.csiro.au/def/soils/op-units/,x-ray-fluorescence,op:method method:x-ray-fluorescence,http://registry.it.csiro.au/def/soils/op-units/x-ray-fluorescence,'X-Ray Fluorescence'@en
Automated Colour,Bicarbonate-extractable phosphorus - automated colour,http://registry.it.csiro.au/def/soils/op-units/,automated-colour,op:method method:automated-colour,http://registry.it.csiro.au/def/soils/op-units/automated-colour,'Automated Colour'@en
Manual Distillation,Calcium phosphate-extractable sulfur - manual distillation,http://registry.it.csiro.au/def/soils/op-units/,manual-distillation,op:method method:manual-distillation,http://registry.it.csiro.au/def/soils/op-units/manual-distillation,'Manual Distillation'@en
Coventry and Fett,Fine sand (%) - Coventry and Fett pipette method,http://registry.it.csiro.au/def/soils/op-units/,coventry-and-fett,op:method method:coventry-and-fett,http://registry.it.csiro.au/def/soils/op-units/coventry-and-fett,'Coventry and Fett'@en
Sedigraph,1 micron (cumulative %) - Sedigraph,http://registry.it.csiro.au/def/soils/op-units/,sedigraph,op:method method:sedigraph,http://registry.it.csiro.au/def/soils/op-units/sedigraph,'Sedigraph'@en
Citrate/Dithionite Extraction,Total Element SiO2 - by Citrate/Dithionite Extraction,http://registry.it.csiro.au/def/soils/op-units/,citrate-dithionite-extraction,op:method method:citrate-dithionite-extraction,http://registry.it.csiro.au/def/soils/op-units/citrate/dithionite-extraction,'Citrate/Dithionite Extraction'@en
Ion Chromatography,Sulfate/SE - ion chromatography,http://registry.it.csiro.au/def/soils/op-units/,ion-chromatography,op:method method:ion-chromatography,http://registry.it.csiro.au/def/soils/op-units/ion-chromatography,'Ion Chromatography'@en
,,,,,,
op:method method:D,,,op:method method:,,,
